会う,(あう),to meet,,[sound:会う.wav]
to meet,,会う,(あう),[sound:会う.wav]
青,(あお),blue,,[sound:青.wav]
blue,,青,(あお),[sound:青.wav]
青い,(あおい),blue,,[sound:青い.wav]
blue,,青い,(あおい),[sound:青い.wav]
赤,(あか),red,,[sound:赤.wav]
red,,赤,(あか),[sound:赤.wav]
赤い,(あかい),red,,[sound:赤い.wav]
red,,赤い,(あかい),[sound:赤い.wav]
明い,(あかるい),bright,,[sound:明い.wav]
bright,,明い,(あかるい),[sound:明い.wav]
秋,(あき),autumn,,[sound:秋.wav]
autumn,,秋,(あき),[sound:秋.wav]
開く,(あく),"to open, to become open",,[sound:開く.wav]
"to open, to become open",,開く,(あく),[sound:開く.wav]
開ける,(あける),to open,,[sound:開ける.wav]
to open,,開ける,(あける),[sound:開ける.wav]
上げる,(あげる),to give,,[sound:上げる.wav]
to give,,上げる,(あげる),[sound:上げる.wav]
朝,(あさ),morning,,[sound:朝.wav]
morning,,朝,(あさ),[sound:朝.wav]
朝御飯,(あさごはん),breakfast,,[sound:朝御飯.wav]
breakfast,,朝御飯,(あさごはん),[sound:朝御飯.wav]
あさって,,day after tomorrow,,[sound:あさって.wav]
day after tomorrow,,あさって,,[sound:あさって.wav]
足,(あし),"foot, leg",,[sound:足.wav]
"foot, leg",,足,(あし),[sound:足.wav]
明日,(あした),tomorrow,,[sound:明日.wav]
tomorrow,,明日,(あした),[sound:明日.wav]
あそこ,,over there,,[sound:あそこ.wav]
over there,,あそこ,,[sound:あそこ.wav]
遊ぶ,(あそぶ),"to play, to make a visit",,[sound:遊ぶ.wav]
"to play, to make a visit",,遊ぶ,(あそぶ),[sound:遊ぶ.wav]
暖かい,(あたたかい),warm,,[sound:暖かい.wav]
warm,,暖かい,(あたたかい),[sound:暖かい.wav]
頭,(あたま),head,,[sound:頭.wav]
head,,頭,(あたま),[sound:頭.wav]
新しい,(あたらしい),new,,[sound:新しい.wav]
new,,新しい,(あたらしい),[sound:新しい.wav]
あちら,,there,,[sound:あちら.wav]
there,,あちら,,[sound:あちら.wav]
暑い,(あつい),hot,,[sound:暑い.wav]
hot,,暑い,(あつい),[sound:暑い.wav]
熱い,(あつい),hot to the touch,,[sound:熱い.wav]
hot to the touch,,熱い,(あつい),[sound:熱い.wav]
厚い,(あつい),"kind, deep, thick",,[sound:厚い.wav]
"kind, deep, thick",,厚い,(あつい),[sound:厚い.wav]
あっち,,over there,,[sound:あっち.wav]
over there,,あっち,,[sound:あっち.wav]
後,(あと),afterwards,,[sound:後.wav]
afterwards,,後,(あと),[sound:後.wav]
貴方,(あなた),you,,[sound:貴方.wav]
you,,貴方,(あなた),[sound:貴方.wav]
兄,(あに),(humble) older brother,,[sound:兄.wav]
(humble) older brother,,兄,(あに),[sound:兄.wav]
姉,(あね),(humble) older sister,,[sound:姉.wav]
(humble) older sister,,姉,(あね),[sound:姉.wav]
あの,,um...,,[sound:あの.wav]
um...,,あの,,[sound:あの.wav]
アパート,,apartment,,[sound:アパート.wav]
apartment,,アパート,,[sound:アパート.wav]
あびる,,"to bathe, to shower",,[sound:あびる.wav]
"to bathe, to shower",,あびる,,[sound:あびる.wav]
危ない,(あぶない),dangerous,,[sound:危ない.wav]
dangerous,,危ない,(あぶない),[sound:危ない.wav]
甘い,(あまい),sweet,,[sound:甘い.wav]
sweet,,甘い,(あまい),[sound:甘い.wav]
あまり,,not very,,[sound:あまり.wav]
not very,,あまり,,[sound:あまり.wav]
雨,(あめ),rain,,[sound:雨.wav]
rain,,雨,(あめ),[sound:雨.wav]
飴,(あめ),candy,,[sound:飴.wav]
candy,,飴,(あめ),[sound:飴.wav]
洗う,(あらう),to wash,,[sound:洗う.wav]
to wash,,洗う,(あらう),[sound:洗う.wav]
有る,(ある),"to be,to have (used for inanimate objects)",,[sound:有る.wav]
"to be,to have (used for inanimate objects)",,有る,(ある),[sound:有る.wav]
歩く,(あるく),to walk,,[sound:歩く.wav]
to walk,,歩く,(あるく),[sound:歩く.wav]
あれ,,that,,[sound:あれ.wav]
that,,あれ,,[sound:あれ.wav]
いい,,good,,[sound:いい.wav]
good,,いい,,[sound:いい.wav]
良い,(よい),good,,[sound:良い.wav]
good,,良い,(よい),[sound:良い.wav]
いいえ,,no,,[sound:いいえ.wav]
no,,いいえ,,[sound:いいえ.wav]
言う,(いう),to say,,[sound:言う.wav]
to say,,言う,(いう),[sound:言う.wav]
家,(いえ),house,,[sound:家.wav]
house,,家,(いえ),[sound:家.wav]
いかが,,how,,[sound:いかが.wav]
how,,いかが,,[sound:いかが.wav]
行く,(いく),to go,,[sound:行く.wav]
to go,,行く,(いく),[sound:行く.wav]
いくつ,,"how many?,how old?",,[sound:いくつ.wav]
"how many?,how old?",,いくつ,,[sound:いくつ.wav]
いくら,,how much?,,[sound:いくら.wav]
how much?,,いくら,,[sound:いくら.wav]
池,(いけ),pond,,[sound:池.wav]
pond,,池,(いけ),[sound:池.wav]
医者,(いしゃ),medical doctor,,[sound:医者.wav]
medical doctor,,医者,(いしゃ),[sound:医者.wav]
いす,,chair,,[sound:いす.wav]
chair,,いす,,[sound:いす.wav]
忙しい,(いそがしい),"busy, irritated",,[sound:忙しい.wav]
"busy, irritated",,忙しい,(いそがしい),[sound:忙しい.wav]
痛い,(いたい),painful,,[sound:痛い.wav]
painful,,痛い,(いたい),[sound:痛い.wav]
一,(いち),one,,[sound:一.wav]
one,,一,(いち),[sound:一.wav]
一日,(いちにち),first of the month,,[sound:一日.wav]
first of the month,,一日,(いちにち),[sound:一日.wav]
いちばん,,"best, first",,[sound:いちばん.wav]
"best, first",,いちばん,,[sound:いちばん.wav]
何時,(いつ),when,,[sound:何時.wav]
when,,何時,(いつ),[sound:何時.wav]
五日,(いつか),"five days, fifth day",,[sound:五日.wav]
"five days, fifth day",,五日,(いつか),[sound:五日.wav]
一緒,(いっしょ),together,,[sound:一緒.wav]
together,,一緒,(いっしょ),[sound:一緒.wav]
五つ,(いつつ),five,,[sound:五つ.wav]
five,,五つ,(いつつ),[sound:五つ.wav]
いつも,,always,,[sound:いつも.wav]
always,,いつも,,[sound:いつも.wav]
犬,(いぬ),dog,,[sound:犬.wav]
dog,,犬,(いぬ),[sound:犬.wav]
今,(いま),now,,[sound:今.wav]
now,,今,(いま),[sound:今.wav]
意味,(いみ),meaning,,[sound:意味.wav]
meaning,,意味,(いみ),[sound:意味.wav]
妹,(いもうと),(humble) younger sister,,[sound:妹.wav]
(humble) younger sister,,妹,(いもうと),[sound:妹.wav]
嫌,(いや),unpleasant,,[sound:嫌.wav]
unpleasant,,嫌,(いや),[sound:嫌.wav]
入口,(いりぐち),entrance,,[sound:入口.wav]
entrance,,入口,(いりぐち),[sound:入口.wav]
居る,(いる),"to be, to have (used for people and animals)",,[sound:居る.wav]
"to be, to have (used for people and animals)",,居る,(いる),[sound:居る.wav]
要る,(いる),to need,,[sound:要る.wav]
to need,,要る,(いる),[sound:要る.wav]
入れる,(いれる),to put in,,[sound:入れる.wav]
to put in,,入れる,(いれる),[sound:入れる.wav]
色,(いろ),colour,,[sound:色.wav]
colour,,色,(いろ),[sound:色.wav]
いろいろ,,various,,[sound:いろいろ.wav]
various,,いろいろ,,[sound:いろいろ.wav]
上,(うえ),on top of,,[sound:上.wav]
on top of,,上,(うえ),[sound:上.wav]
後ろ,(うしろ),behind,,[sound:後ろ.wav]
behind,,後ろ,(うしろ),[sound:後ろ.wav]
薄い,(うすい),"thin,weak",,[sound:薄い.wav]
"thin,weak",,薄い,(うすい),[sound:薄い.wav]
歌,(うた),song,,[sound:歌.wav]
song,,歌,(うた),[sound:歌.wav]
歌う,(うたう),to sing,,[sound:歌う.wav]
to sing,,歌う,(うたう),[sound:歌う.wav]
生まれる,(うまれる),to be born,,[sound:生まれる.wav]
to be born,,生まれる,(うまれる),[sound:生まれる.wav]
海,(うみ),sea,,[sound:海.wav]
sea,,海,(うみ),[sound:海.wav]
売る,(うる),to sell,,[sound:売る.wav]
to sell,,売る,(うる),[sound:売る.wav]
煩い,(うるさい),"noisy, annoying",,[sound:煩い.wav]
"noisy, annoying",,煩い,(うるさい),[sound:煩い.wav]
上着,(うわぎ),jacket,,[sound:上着.wav]
jacket,,上着,(うわぎ),[sound:上着.wav]
絵,(え),picture,,[sound:絵.wav]
picture,,絵,(え),[sound:絵.wav]
映画,(えいが),movie,,[sound:映画.wav]
movie,,映画,(えいが),[sound:映画.wav]
映画館,(えいがかん),cinema,,[sound:映画館.wav]
cinema,,映画館,(えいがかん),[sound:映画館.wav]
英語,(えいご),English language,,[sound:英語.wav]
English language,,英語,(えいご),[sound:英語.wav]
ええ,,yes,,[sound:ええ.wav]
yes,,ええ,,[sound:ええ.wav]
駅,(えき),station,,[sound:駅.wav]
station,,駅,(えき),[sound:駅.wav]
エレベーター,,elevator,,[sound:エレベーター.wav]
elevator,,エレベーター,,[sound:エレベーター.wav]
鉛筆,(えんぴつ),pencil,,[sound:鉛筆.wav]
pencil,,鉛筆,(えんぴつ),[sound:鉛筆.wav]
おいしい,,delicious,,[sound:おいしい.wav]
delicious,,おいしい,,[sound:おいしい.wav]
多い,(おおい),many,,[sound:多い.wav]
many,,多い,(おおい),[sound:多い.wav]
大きい,(おおきい),big,,[sound:大きい.wav]
big,,大きい,(おおきい),[sound:大きい.wav]
大きな,(おおきな),big,,[sound:大きな.wav]
big,,大きな,(おおきな),[sound:大きな.wav]
大勢,(おおぜい),great number of people,,[sound:大勢.wav]
great number of people,,大勢,(おおぜい),[sound:大勢.wav]
お母さん,(おかあさん),(honorable) mother,,[sound:お母さん.wav]
(honorable) mother,,お母さん,(おかあさん),[sound:お母さん.wav]
お菓子,(おかし),"sweets, candy",,[sound:お菓子.wav]
"sweets, candy",,お菓子,(おかし),[sound:お菓子.wav]
お金,(おかね),money,,[sound:お金.wav]
money,,お金,(おかね),[sound:お金.wav]
起きる,(おきる),to get up,,[sound:起きる.wav]
to get up,,起きる,(おきる),[sound:起きる.wav]
置く,(おく),to put,,[sound:置く.wav]
to put,,置く,(おく),[sound:置く.wav]
奥さん,(おくさん),(honorable) wife,,[sound:奥さん.wav]
(honorable) wife,,奥さん,(おくさん),[sound:奥さん.wav]
お酒,(おさけ),"alcohol, rice wine",,[sound:お酒.wav]
"alcohol, rice wine",,お酒,(おさけ),[sound:お酒.wav]
お皿,(おさら),"plate, dish",,[sound:お皿.wav]
"plate, dish",,お皿,(おさら),[sound:お皿.wav]
おじいさん,,"grandfather, male senior citizen",,[sound:おじいさん.wav]
"grandfather, male senior citizen",,おじいさん,,[sound:おじいさん.wav]
教える,(おしえる),"to teach, to tell",,[sound:教える.wav]
"to teach, to tell",,教える,(おしえる),[sound:教える.wav]
おじさん,,"uncle, middle aged gentleman",,[sound:おじさん.wav]
"uncle, middle aged gentleman",,おじさん,,[sound:おじさん.wav]
押す,(おす),"to push, to stamp something",,[sound:押す.wav]
"to push, to stamp something",,押す,(おす),[sound:押す.wav]
遅い,(おそい),"late, slow",,[sound:遅い.wav]
"late, slow",,遅い,(おそい),[sound:遅い.wav]
お茶,(おちゃ),green tea,,[sound:お茶.wav]
green tea,,お茶,(おちゃ),[sound:お茶.wav]
お手洗い,(おてあらい),bathroom,,[sound:お手洗い.wav]
bathroom,,お手洗い,(おてあらい),[sound:お手洗い.wav]
お父さん,(おとうさん),(honorable) father,,[sound:お父さん.wav]
(honorable) father,,お父さん,(おとうさん),[sound:お父さん.wav]
弟,(おとうと),younger brother,,[sound:弟.wav]
younger brother,,弟,(おとうと),[sound:弟.wav]
男,(おとこ),Man,,[sound:男.wav]
Man,,男,(おとこ),[sound:男.wav]
男の子,(おとこのこ),Boy,,[sound:男の子.wav]
Boy,,男の子,(おとこのこ),[sound:男の子.wav]
一昨日,(おととい),day before yesterday,,[sound:一昨日.wav]
day before yesterday,,一昨日,(おととい),[sound:一昨日.wav]
一昨年,(おととし),year before last,,[sound:一昨年.wav]
year before last,,一昨年,(おととし),[sound:一昨年.wav]
大人,(おとな),Adult,,[sound:大人.wav]
Adult,,大人,(おとな),[sound:大人.wav]
おなか,,stomach,,[sound:おなか.wav]
stomach,,おなか,,[sound:おなか.wav]
同じ,(おなじ),same,,[sound:同じ.wav]
same,,同じ,(おなじ),[sound:同じ.wav]
お兄さん,(おにいさん),(honorable) older brother,,[sound:お兄さん.wav]
(honorable) older brother,,お兄さん,(おにいさん),[sound:お兄さん.wav]
お姉さん,(おねえさん),(honorable) older sister,,[sound:お姉さん.wav]
(honorable) older sister,,お姉さん,(おねえさん),[sound:お姉さん.wav]
おばあさん,,"grandmother, female senior-citizen",,[sound:おばあさん.wav]
"grandmother, female senior-citizen",,おばあさん,,[sound:おばあさん.wav]
伯母さん,(おばさん),Aunt,,[sound:伯母さん.wav]
Aunt,,伯母さん,(おばさん),[sound:伯母さん.wav]
お風呂,(おふろ),Bath,,[sound:お風呂.wav]
Bath,,お風呂,(おふろ),[sound:お風呂.wav]
お弁当,(おべんとう),boxed lunch,,[sound:お弁当.wav]
boxed lunch,,お弁当,(おべんとう),[sound:お弁当.wav]
覚える,(おぼえる),to remember,,[sound:覚える.wav]
to remember,,覚える,(おぼえる),[sound:覚える.wav]
おまわりさん,,friendly term for policeman,,[sound:おまわりさん.wav]
friendly term for policeman,,おまわりさん,,[sound:おまわりさん.wav]
重い,(おもい),Heavy,,[sound:重い.wav]
Heavy,,重い,(おもい),[sound:重い.wav]
おもしろい,,Interesting,,[sound:おもしろい.wav]
Interesting,,おもしろい,,[sound:おもしろい.wav]
泳ぐ,(およぐ),to swim,,[sound:泳ぐ.wav]
to swim,,泳ぐ,(およぐ),[sound:泳ぐ.wav]
降りる,(おりる),"to get off, to descend",,[sound:降りる.wav]
"to get off, to descend",,降りる,(おりる),[sound:降りる.wav]
終る,(おわる),to finish,,[sound:終る.wav]
to finish,,終る,(おわる),[sound:終る.wav]
音楽,(おんがく),Music,,[sound:音楽.wav]
Music,,音楽,(おんがく),[sound:音楽.wav]
女,(おんな),Woman,,[sound:女.wav]
Woman,,女,(おんな),[sound:女.wav]
女の子,(おんなのこ),Girl,,[sound:女の子.wav]
Girl,,女の子,(おんなのこ),[sound:女の子.wav]
外国,(がいこく),foreign country,,[sound:外国.wav]
foreign country,,外国,(がいこく),[sound:外国.wav]
外国人,(がいこくじん),Foreigner,,[sound:外国人.wav]
Foreigner,,外国人,(がいこくじん),[sound:外国人.wav]
会社,(かいしゃ),Company,,[sound:会社.wav]
Company,,会社,(かいしゃ),[sound:会社.wav]
階段,(かいだん),Stairs,,[sound:階段.wav]
Stairs,,階段,(かいだん),[sound:階段.wav]
買い物,(かいもの),Shopping,,[sound:買い物.wav]
Shopping,,買い物,(かいもの),[sound:買い物.wav]
買う,(かう),to buy,,[sound:買う.wav]
to buy,,買う,(かう),[sound:買う.wav]
返す,(かえす),to return something,,[sound:返す.wav]
to return something,,返す,(かえす),[sound:返す.wav]
帰る,(かえる),to go back,,[sound:帰る.wav]
to go back,,帰る,(かえる),[sound:帰る.wav]
掛かる,(かかる),to take time or money,,[sound:掛かる.wav]
to take time or money,,掛かる,(かかる),[sound:掛かる.wav]
鍵,(かぎ),Key,,[sound:鍵.wav]
Key,,鍵,(かぎ),[sound:鍵.wav]
書く,(かく),to write,,[sound:書く.wav]
to write,,書く,(かく),[sound:書く.wav]
学生,(がくせい),Student,,[sound:学生.wav]
Student,,学生,(がくせい),[sound:学生.wav]
掛ける,(かける),to call by phone,,[sound:掛ける.wav]
to call by phone,,掛ける,(かける),[sound:掛ける.wav]
傘,(かさ),Umbrella,,[sound:傘.wav]
Umbrella,,傘,(かさ),[sound:傘.wav]
貸す,(かす),to lend,,[sound:貸す.wav]
to lend,,貸す,(かす),[sound:貸す.wav]
風,(かぜ),Wind,,[sound:風.wav]
Wind,,風,(かぜ),[sound:風.wav]
風邪,(かぜ),a cold,,[sound:風邪.wav]
a cold,,風邪,(かぜ),[sound:風邪.wav]
家族,(かぞく),Family,,[sound:家族.wav]
Family,,家族,(かぞく),[sound:家族.wav]
方,(かた),"person, way of doing",,[sound:方.wav]
"person, way of doing",,方,(かた),[sound:方.wav]
学校,(がっこう),School,,[sound:学校.wav]
School,,学校,(がっこう),[sound:学校.wav]
カップ,,Cup,,[sound:カップ.wav]
Cup,,カップ,,[sound:カップ.wav]
家庭,(かてい),Household,,[sound:家庭.wav]
Household,,家庭,(かてい),[sound:家庭.wav]
角,(かど),a corner,,[sound:角.wav]
a corner,,角,(かど),[sound:角.wav]
鞄,(かばん),"bag, basket",,[sound:鞄.wav]
"bag, basket",,鞄,(かばん),[sound:鞄.wav]
花瓶,(かびん),a vase,,[sound:花瓶.wav]
a vase,,花瓶,(かびん),[sound:花瓶.wav]
紙,(かみ),paper,,[sound:紙.wav]
paper,,紙,(かみ),[sound:紙.wav]
カメラ,,camera,,[sound:カメラ.wav]
camera,,カメラ,,[sound:カメラ.wav]
火曜日,(かようび),Tuesday,,[sound:火曜日.wav]
Tuesday,,火曜日,(かようび),[sound:火曜日.wav]
辛い,(からい),Spicy,,[sound:辛い.wav]
Spicy,,辛い,(からい),[sound:辛い.wav]
体,(からだ),Body,,[sound:体.wav]
Body,,体,(からだ),[sound:体.wav]
借りる,(かりる),to borrow,,[sound:借りる.wav]
to borrow,,借りる,(かりる),[sound:借りる.wav]
軽い,(かるい),Light,,[sound:軽い.wav]
Light,,軽い,(かるい),[sound:軽い.wav]
カレー,,Curry,,[sound:カレー.wav]
Curry,,カレー,,[sound:カレー.wav]
カレンダー,,calendar,,[sound:カレンダー.wav]
calendar,,カレンダー,,[sound:カレンダー.wav]
川,(かわ),River,,[sound:川.wav]
River,,川,(かわ),[sound:川.wav]
河,(かわ),River,,[sound:河.wav]
River,,河,(かわ),[sound:河.wav]
かわいい,,Cute,,[sound:かわいい.wav]
Cute,,かわいい,,[sound:かわいい.wav]
漢字,(かんじ),Chinese character,,[sound:漢字.wav]
Chinese character,,漢字,(かんじ),[sound:漢字.wav]
木,(き),"tree, wood",,[sound:木.wav]
"tree, wood",,木,(き),[sound:木.wav]
黄色,(きいろ),yellow,,[sound:黄色.wav]
yellow,,黄色,(きいろ),[sound:黄色.wav]
黄色い,(きいろい),yellow,,[sound:黄色い.wav]
yellow,,黄色い,(きいろい),[sound:黄色い.wav]
消える,(きえる),to disappear,,[sound:消える.wav]
to disappear,,消える,(きえる),[sound:消える.wav]
聞く,(きく),"to hear, to listen to, to ask",,[sound:聞く.wav]
"to hear, to listen to, to ask",,聞く,(きく),[sound:聞く.wav]
北,(きた),North,,[sound:北.wav]
North,,北,(きた),[sound:北.wav]
ギター,,Guitar,,[sound:ギター.wav]
Guitar,,ギター,,[sound:ギター.wav]
汚い,(きたない),Dirty,,[sound:汚い.wav]
Dirty,,汚い,(きたない),[sound:汚い.wav]
喫茶店,(きっさてん),coffee lounge,,[sound:喫茶店.wav]
coffee lounge,,喫茶店,(きっさてん),[sound:喫茶店.wav]
切手,(きって),postage stamp,,[sound:切手.wav]
postage stamp,,切手,(きって),[sound:切手.wav]
切符,(きっぷ),Ticket,,[sound:切符.wav]
Ticket,,切符,(きっぷ),[sound:切符.wav]
昨日,(きのう),Yesterday,,[sound:昨日.wav]
Yesterday,,昨日,(きのう),[sound:昨日.wav]
九,(きゅう),Nine,,[sound:九.wav]
Nine,,九,(きゅう),[sound:九.wav]
九,(く),Nine,,[sound:九.wav]
Nine,,九,(く),[sound:九.wav]
牛肉,(ぎゅうにく),Beef,,[sound:牛肉.wav]
Beef,,牛肉,(ぎゅうにく),[sound:牛肉.wav]
牛乳,(ぎゅうにゅう),Milk,,[sound:牛乳.wav]
Milk,,牛乳,(ぎゅうにゅう),[sound:牛乳.wav]
今日,(きょう),Today,,[sound:今日.wav]
Today,,今日,(きょう),[sound:今日.wav]
教室,(きょうしつ),Classroom,,[sound:教室.wav]
Classroom,,教室,(きょうしつ),[sound:教室.wav]
兄弟,(きょうだい),(humble) siblings,,[sound:兄弟.wav]
(humble) siblings,,兄弟,(きょうだい),[sound:兄弟.wav]
去年,(きょねん),last year,,[sound:去年.wav]
last year,,去年,(きょねん),[sound:去年.wav]
嫌い,(きらい),Hate,,[sound:嫌い.wav]
Hate,,嫌い,(きらい),[sound:嫌い.wav]
切る,(きる),to cut,,[sound:切る.wav]
to cut,,切る,(きる),[sound:切る.wav]
着る,(きる),to put on from the shoulders down,,[sound:着る.wav]
to put on from the shoulders down,,着る,(きる),[sound:着る.wav]
きれい,,"pretty, clean",,[sound:きれい.wav]
"pretty, clean",,きれい,,[sound:きれい.wav]
キロ,,Kilogram,,[sound:キロ.wav]
Kilogram,,キロ,,[sound:キロ.wav]
キログラム,,Kilogram,,[sound:キログラム.wav]
Kilogram,,キログラム,,[sound:キログラム.wav]
キロメートル,,Kilometer,,[sound:キロメートル.wav]
Kilometer,,キロメートル,,[sound:キロメートル.wav]
銀行,(ぎんこう),Bank,,[sound:銀行.wav]
Bank,,銀行,(ぎんこう),[sound:銀行.wav]
金曜日,(きんようび),Friday,,[sound:金曜日.wav]
Friday,,金曜日,(きんようび),[sound:金曜日.wav]
薬,(くすり),medicine,,[sound:薬.wav]
medicine,,薬,(くすり),[sound:薬.wav]
ください,,Please,,[sound:ください.wav]
Please,,ください,,[sound:ください.wav]
果物,(くだもの),Fruit,,[sound:果物.wav]
Fruit,,果物,(くだもの),[sound:果物.wav]
口,(くち),"mouth, opening",,[sound:口.wav]
"mouth, opening",,口,(くち),[sound:口.wav]
靴,(くつ),Shoes,,[sound:靴.wav]
Shoes,,靴,(くつ),[sound:靴.wav]
靴下,(くつした),Socks,,[sound:靴下.wav]
Socks,,靴下,(くつした),[sound:靴下.wav]
国,(くに),Country,,[sound:国.wav]
Country,,国,(くに),[sound:国.wav]
曇り,(くもり),cloudy weather,,[sound:曇り.wav]
cloudy weather,,曇り,(くもり),[sound:曇り.wav]
曇る,(くもる),"to become cloudy, to become dim",,[sound:曇る.wav]
"to become cloudy, to become dim",,曇る,(くもる),[sound:曇る.wav]
暗い,(くらい),Gloomy,,[sound:暗い.wav]
Gloomy,,暗い,(くらい),[sound:暗い.wav]
クラス,,Class,,[sound:クラス.wav]
Class,,クラス,,[sound:クラス.wav]
グラム,,Gram,,[sound:グラム.wav]
Gram,,グラム,,[sound:グラム.wav]
来る,(くる),to come,,[sound:来る.wav]
to come,,来る,(くる),[sound:来る.wav]
車,(くるま),"car, vehicle",,[sound:車.wav]
"car, vehicle",,車,(くるま),[sound:車.wav]
黒,(くろ),Black,,[sound:黒.wav]
Black,,黒,(くろ),[sound:黒.wav]
黒い,(くろい),black,,[sound:黒い.wav]
black,,黒い,(くろい),[sound:黒い.wav]
警官,(けいかん),policeman,,[sound:警官.wav]
policeman,,警官,(けいかん),[sound:警官.wav]
今朝,(けさ),this morning,,[sound:今朝.wav]
this morning,,今朝,(けさ),[sound:今朝.wav]
消す,(けす),"to erase, to turn off power",,[sound:消す.wav]
"to erase, to turn off power",,消す,(けす),[sound:消す.wav]
結構,(けっこう),"splendid, enough",,[sound:結構.wav]
"splendid, enough",,結構,(けっこう),[sound:結構.wav]
結婚,(けっこん),Marriage,,[sound:結婚.wav]
Marriage,,結婚,(けっこん),[sound:結婚.wav]
月曜日,(げつようび),Monday,,[sound:月曜日.wav]
Monday,,月曜日,(げつようび),[sound:月曜日.wav]
